Finf,Fnoninf,subj,bout,prob
2.0,0.0,3639.0,0.0,0.4054651081081642
2.0,1.0,3639.0,0.0,0.4054651081081642
0.0,2.0,3639.0,0.0,1.900958761193047
3.0,1.0,3639.0,0.0,-0.8001193001121131
1.0,2.0,3639.0,0.0,1.9924301646902063
1.0,0.0,3639.0,0.0,2.313634929180631
3.0,3.0,3639.0,0.0,-1.2083112059245342
2.0,3.0,3639.0,0.0,0.4054651081081642
0.0,1.0,3639.0,0.0,1.3862943611198908
1.0,3.0,3639.0,0.0,2.751535313041948
0.0,3.0,3639.0,0.0,1.3249254147435987
3.0,0.0,3639.0,0.0,-1.9924301646902063
1.0,1.0,3639.0,0.0,2.9444389791664394
3.0,2.0,3639.0,0.0,-2.197224577336219
2.0,2.0,3639.0,0.0,0.0
0.0,0.0,3639.0,0.0,2.313634929180631
1.0,2.0,8397.0,0.0,-0.8953840470548413
3.0,1.0,8397.0,0.0,-1.3862943611198906
2.0,0.0,8397.0,0.0,0.708185057924486
0.0,1.0,8397.0,0.0,1.4500101755059986
1.0,1.0,8397.0,0.0,0.8472978603872034
3.0,2.0,8397.0,0.0,-1.6582280766035322
2.0,3.0,8397.0,0.0,-0.04000533461369925
0.0,0.0,8397.0,0.0,1.0986122886681098
0.0,3.0,8397.0,0.0,2.442347035369205
1.0,3.0,8397.0,0.0,1.3249254147435987
2.0,2.0,8397.0,0.0,-0.04000533461369925
3.0,3.0,8397.0,0.0,-1.2656663733312759
1.0,0.0,8397.0,0.0,0.12014431184206341
3.0,0.0,8397.0,0.0,-0.9946225751440619
0.0,2.0,8397.0,0.0,0.8953840470548413
2.0,1.0,8397.0,0.0,-0.3639653772014119
3.0,2.0,8345.0,0.0,-0.2818511521409879
0.0,1.0,8345.0,0.0,2.0907410969337694
2.0,0.0,8345.0,0.0,-1.5856272637403817
1.0,3.0,8345.0,0.0,0.32277339226305085
0.0,2.0,8345.0,0.0,2.0907410969337694
3.0,1.0,8345.0,0.0,0.0
3.0,3.0,8345.0,0.0,0.4895482253187058
2.0,1.0,8345.0,0.0,0.08004270767353656
1.0,0.0,8345.0,0.0,0.16034265007517948
1.0,2.0,8345.0,0.0,0.08004270767353656
0.0,3.0,8345.0,0.0,0.8001193001121129
0.0,0.0,8345.0,0.0,0.7537718023763803
2.0,3.0,8345.0,0.0,-0.20067069546215124
1.0,1.0,8345.0,0.0,-0.5753641449035618
2.0,2.0,8345.0,0.0,-1.8152899666382492
3.0,0.0,8345.0,0.0,-0.2818511521409879
2.0,0.0,979.0,0.0,0.0
3.0,3.0,979.0,0.0,0.8472978603872034
0.0,3.0,979.0,0.0,0.0
2.0,3.0,979.0,0.0,0.8472978603872034
1.0,0.0,979.0,0.0,1.3862943611198908
0.0,0.0,979.0,0.0,1.0986122886681098
1.0,3.0,979.0,0.0,-1.1526795099383855
3.0,2.0,979.0,0.0,2.442347035369205
